ETIQUETA (CLAVE DE INVENTARIO,DESCRIPCION,MARCA,MODELO,SERIE,TIPO,ESTADO FISICO,RESPONSABLE DEL AREA,DEPARTAMENTO:,OBSERVACIÓN  ,PISO,DIRECTOR,ADMINISTRADOR,FECHA DE INGRESO AL AREA
1232,ARCHIVERO DE MADERA 3 GAVETAS,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
46962,EQUIPO DE COMPUTO,HP,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
676390,IMPRESORA COLOR NEGRO,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11602,LIBRERO CON 5 PELDAÑOS,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87408,REGULADOR NEGRO,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13144,SILLA COLOE VERDE,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
13177,ESCRITORIO EN L,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11456,SILLA EJECUTIVA VERDE,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11474,LIBRERO CON 5 PELDAÑOS,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11460,ARCHIVERO 2 GAVETAS,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
67876,EQUIPO DE COMPUTO,HP,P6720la,MXX10317SZ,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
87413,SILLA COLOR VERDE,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
118795,SILLA VERDE GIRATORIA,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
91608,ESCRITORIO EN L,,,,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
EXTENSION77156,TELEFONO CISCO,CISCO,FCH16069BCM,FCH16069BCM,,B,JOSE ANGEL GUZMAN DAVALOS,SERVICIOS DE INGENIERIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
9984,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11428,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11427,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11426,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11431,GAVETA GRIS,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11423,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11424,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
FARM01,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
FARM02,ESTANTE METALICO,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
11432,REFRIGERADOR DOS PUERTAS,,,,,B,MARCOS URIEL AVILA SANTILLAN,FARMACIA,,PLANTA BAJA,DR. ELIO AARON REYES ESPINOZA,L.A. ALEJANDRA DEL ROCIO PEYNADO MARES,
